2023-02-06 20:16:07+00:00, province: Kayseri, district: None, country: TR
2023-02-06 20:14:40+00:00, province: Batı Azerbaycan Eyaleti, district: Hoy, country: IR
2023-02-06 20:14:03+00:00, province: Adana, district: None, country: TR
2023-02-06 20:11:15+00:00, province: Erzurum, district: None, country: TR
2023-02-06 20:10:54+00:00, province: İstanbul, district: None, country: TR
2023-02-06 20:10:37+00:00, province: İstanbul, district: None, country: TR
2023-02-06 20:08:18+00:00, province: None, district: None, country: GR
2023-02-06 20:07:31+00:00, province: Rize, district: None, country: TR
2023-02-06 20:04:43+00:00, province: Samsun, district: None, country: TR
2023-02-06 20:03:46+00:00, province: İzmir, district: None, country: TR
2023-02-06 19:59:36+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:59:10+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:54:10+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:54:00+00:00, province: None, district: None, country: TR
2023-02-06 19:53:35+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:52:22+00:00, province: Bursa, district: None, country: TR
2023-02-06 19:50:14+00:00, province: Rize, district: None, country: TR
2023-02-06 19:48:47+00:00, province: Kocaeli, district: None, country: TR
2023-02-06 19:48:30+00:00, province: Konya, district: None, country: TR
2023-02-06 19:48:01+00:00, province: Rize, district: None, country: TR
2023-02-06 19:47:39+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:44:35+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:41:39+00:00, province: Adıyaman, district: None, country: TR
2023-02-06 19:39:59+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:39:43+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:37:05+00:00, province: Hatay, district: None, country: TR
2023-02-06 19:34:42+00:00, province: Denizli, district: None, country: TR
2023-02-06 19:34:39+00:00, province: Bursa, district: None, country: TR
2023-02-06 19:32:29+00:00, province: Mersin, district: None, country: TR
2023-02-06 19:31:14+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:29:11+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:26:20+00:00, province: Bilecik, district: Bilecik Merkez, country: TR
2023-02-06 19:25:27+00:00, province: New York, district: Queens County, country: US
2023-02-06 19:24:37+00:00, province: Kayseri, district: None, country: TR
2023-02-06 19:23:19+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:22:35+00:00, province: Şanlıurfa, district: None, country: TR
2023-02-06 19:22:00+00:00, province: Britanya Kolumbiyası, district: Metro Vancouver Regional District, country: CA
2023-02-06 19:20:27+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:18:39+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:15:25+00:00, province: Ontario, district: Golden Horseshoe, country: CA
2023-02-06 19:11:42+00:00, province: Erzurum, district: None, country: TR
2023-02-06 19:09:01+00:00, province: None, district: Lefkoşa ilçesi, country: CY
2023-02-06 19:05:55+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:05:15+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:05:03+00:00, province: İzmir, district: None, country: TR
2023-02-06 19:03:44+00:00, province: Kocaeli, district: None, country: TR
2023-02-06 19:01:51+00:00, province: İstanbul, district: None, country: TR
2023-02-06 19:01:34+00:00, province: Batman, district: Batman Merkez, country: TR
2023-02-06 19:01:28+00:00, province: Edirne, district: Edirne Merkez, country: TR
2023-02-06 18:58:03+00:00, province: Konya, district: None, country: TR
2023-02-06 18:50:48+00:00, province: Kahramanmaraş, district: None, country: TR
2023-02-06 18:49:30+00:00, province: Zonguldak, district: None, country: TR
2023-02-06 18:47:58+00:00, province: Kahramanmaraş, district: None, country: TR
2023-02-06 18:45:37+00:00, province: Aydın, district: None, country: TR
2023-02-06 18:44:18+00:00, province: Mersin, district: None, country: TR
2023-02-06 18:43:53+00:00, province: Kocaeli, district: None, country: TR
2023-02-06 18:43:41+00:00, province: İstanbul, district: None, country: TR
2023-02-06 18:42:32+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 18:37:30+00:00, province: İstanbul, district: None, country: TR
2023-02-06 18:36:57+00:00, province: Muğla, district: None, country: TR
2023-02-06 18:35:04+00:00, province: İstanbul, district: None, country: TR
2023-02-06 18:31:37+00:00, province: Kahramanmaraş, district: None, country: TR
2023-02-06 18:31:15+00:00, province: İstanbul, district: None, country: TR
2023-02-06 18:30:34+00:00, province: Bursa, district: None, country: TR
2023-02-06 18:29:54+00:00, province: Mersin, district: None, country: TR
2023-02-06 18:27:18+00:00, province: İzmir, district: None, country: TR
2023-02-06 18:26:53+00:00, province: Çanakkale, district: Çanakkale, country: TR
2023-02-06 18:23:30+00:00, province: Kocaeli, district: None, country: TR
2023-02-06 18:22:48+00:00, province: Tokat, district: None, country: TR
2023-02-06 18:22:47+00:00, province: Hatay, district: None, country: TR
2023-02-06 18:21:53+00:00, province: Zonguldak, district: None, country: TR
2023-02-06 18:21:42+00:00, province: Malatya, district: Malatya, country: TR
2023-02-06 18:21:40+00:00, province: Sakarya, district: None, country: TR
2023-02-06 18:21:14+00:00, province: Tokat, district: None, country: TR
2023-02-06 18:20:17+00:00, province: Bursa, district: None, country: TR
2023-02-06 18:20:09+00:00, province: İzmir, district: None, country: TR
2023-02-06 18:19:31+00:00, province: Siirt, district: None, country: TR
2023-02-06 18:17:26+00:00, province: Antalya, district: None, country: TR
2023-02-06 18:17:11+00:00, province: Hatay, district: None, country: TR
2023-02-06 18:16:55+00:00, province: İstanbul, district: None, country: TR
2023-02-06 18:11:13+00:00, province: Kahramanmaraş, district: None, country: TR
2023-02-06 18:10:58+00:00, province: Antalya, district: None, country: TR
2023-02-06 18:09:56+00:00, province: Karaçay-Çerkesya, district: Карачаевский район, country: RU
2023-02-06 18:07:33+00:00, province: Kilis, district: None, country: TR
2023-02-06 18:06:27+00:00, province: Hatay, district: None, country: TR
2023-02-06 18:02:31+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:57:09+00:00, province: Erzurum, district: None, country: TR
2023-02-06 17:56:09+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:54:20+00:00, province: Batı Azerbaycan Eyaleti, district: Hoy, country: IR
2023-02-06 17:54:10+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:52:03+00:00, province: Muğla, district: None, country: TR
2023-02-06 17:50:21+00:00, province: İstanbul, district: None, country: TR
2023-02-06 17:49:40+00:00, province: None, district: Lefkoşa ilçesi, country: CY
2023-02-06 17:48:27+00:00, province: Denizli, district: None, country: TR
